¿Cuál es el lema central de los Ejercicios Espirituales de Cuaresma 2026 de la Arquidiócesis de Monterrey?,“Del desierto al hogar pascual”.
"¿Cuál es el objetivo principal del 1er Encuentro titulado ""Desierto y combate espiritual""?",Reconocer las tentaciones que amenazan la unidad familiar y elegir juntos la fidelidad.
"En el contexto de los ejercicios, ¿qué representa el “desierto” para la familia?",Un espacio de prueba y decisión donde se revela lo que habita en el corazón.
¿Qué dimensión de la vida se ve afectada por la tentación de “convertir piedras en pan”?,"La relación con las cosas, al reducir la vida únicamente a lo material o útil."
¿Qué representa la tentación del “Templo” (lanzarse desde lo alto) en la vida de fe?,El intento de manipular a Dios o usar la fe como un espectáculo o garantía mágica.
¿Qué aspecto de las relaciones humanas se ve herido por la tentación del “Poder”?,"La comunión, al intentar construir la vida sobre el control, el dominio y la autoafirmación."
"Según el 2do Encuentro, ¿cuál es el objetivo de “Subir al monte” en el hogar?",Hacer de la casa un lugar de oración donde la familia escucha a Jesús y discierne sus decisiones.
"En el relato de la Transfiguración, ¿cuál es el mandato específico que el Padre da a los discípulos?",“Escúchenlo”.
¿Qué representan las figuras de Moisés y Elías en el monte Tabor?,"La Ley y los Profetas, indicando que toda la historia de la salvación converge en Jesús."
¿Qué significa “escuchar” en el sentido bíblico según el comentario de los ejercicios?,"No es solo oír, sino obedecer y dejar que la Palabra transforme las decisiones."
¿Cuál es el objetivo del 3er Encuentro basado en el texto de la Samaritana?,Dejar que Cristo sane la sed afectiva del hogar y renueve los vínculos familiares.
¿Qué simboliza el “Agua Viva” que Jesús ofrece en el pozo de Sicar?,"El don del Espíritu Santo, que es el único capaz de saciar la sed de infinito y amor del corazón."
"En el relato de la Samaritana, ¿qué representa el gesto de la mujer al dejar su cántaro?",El abandono de las antiguas búsquedas e identidades para abrazar una vida nueva.
¿Cómo se define “adorar en espíritu y en verdad” en el ámbito de la Iglesia doméstica?,Hacer de toda la vida familiar un espacio de relación verdadera con el Padre.
¿Cuál es el objetivo del 4to Encuentro enfocado en el ciego de nacimiento?,"Aprender a mirarse en familia sin prejuicios, con misericordia y esperanza."
¿Qué significado tiene el nombre de la piscina de “Siloé”?,"Significa “Enviado”, haciendo referencia a Jesús como la verdadera fuente de luz."
"Según el comentario al texto de Juan 9, ¿cuál es la ceguera espiritual más peligrosa?",La soberbia de quienes se creen dueños de la verdad y se cierran a la iluminación de Dios.
"¿Cuál es el objetivo del 5to Encuentro titulado ""Esperanza que vence la muerte""?",Identificar los “Lázaros” de la familia y caminar hacia gestos de perdón y vida nueva.
"En el contexto de los ejercicios, ¿qué se entiende por los “Lázaros” de la familia?","Heridas antiguas, silencios prolongados o relaciones enfriadas que parecen no tener solución."
¿Qué enseñanza pastoral se extrae del mandato de Jesús “Quiten la piedra”?,"Que Dios actúa en la resurrección de nuestras situaciones, pero pide la colaboración humana."
¿Qué significado tiene el mandato comunitario “Desátenlo y déjenlo caminar”?,La responsabilidad de la comunidad y la familia de ayudar a otros a liberarse de las vendas del miedo o rencor.
¿Cuál es la estructura metodológica de ocho pasos propuesta para cada encuentro?,"Oración inicial, realidad, Palabra, comentario, diálogo, pastoral, gesto y oración final."
¿Quién es el autor de la XI Carta Pastoral que inspira la dimensión familiar de estos ejercicios?,"Mons. Rogelio Cabrera López, Arzobispo de Monterrey."
¿A qué se refiere el término “Iglesia doméstica” mencionado en el subsidio?,A la familia cristiana como el primer lugar donde se vive y transmite la identidad bautismal.
"Según la introducción, ¿cuál es el centro de toda la contemplación cuaresmal?",Jesucristo.
"La Cuaresma se describe no solo como preparación moral, sino como un itinerario espiritual hacia el _____.",Misterio Pascual de Cristo
¿Qué tipo de formación busca fortalecer el Plan de Pastoral 2023-2026 de la Arquidiócesis?,Una formación que favorezca nuevas actitudes y prácticas más sinodales.
¿Cuál es el propósito del momento de “Pastoral Misericordiosa” en cada sesión?,Elegir una práctica concreta para traducir la Palabra en decisiones de conversión y comunión.
"En el 1er Encuentro, ¿qué simbolizan las tres piedras colocadas al frente?",Las tentaciones que enfrenta la familia en su combate espiritual.
"En el 2do Encuentro, ¿qué simboliza la tela blanca o dorada?",La gloria y la luz de la transfiguración de Cristo en el monte Tabor.
¿Qué material opcional se sugiere para representar la ceguera en el 4to Encuentro?,"Tiritas de papel con palabras como “prejuicio”, “etiqueta” o “resentimiento”."
¿Cuál es el título de la Hora Santa que concluye la semana de ejercicios?,"“Permanece con nosotros, Señor”."
¿Qué texto bíblico se utiliza para el 1er Encuentro (Lunes)?,"Mateo 4, 1-11."
¿Qué texto bíblico se utiliza para el 2do Encuentro (Martes)?,"Mateo 17, 1-9."
¿Qué texto bíblico se utiliza para el 3er Encuentro (Miércoles)?,"Juan 4, 5-42."
¿Qué texto bíblico se utiliza para el 4to Encuentro (Jueves)?,"Juan 9, 1-41."
¿Qué texto bíblico se utiliza para el 5to Encuentro (Viernes)?,"Juan 11, 1-45."
"Según el subsidio, ¿qué significa que la Cuaresma sea un itinerario de “purificación luminosa”?","Que no es un tiempo de tristeza, sino de preparación para la alegría de la Pascua."
"En el 4to encuentro, ¿cómo se describe la evolución de la fe del ciego curado?",Pasa de ver a Jesús como “ese hombre” a reconocerlo como “profeta” y finalmente como “Señor”.
"Para el 5to encuentro, ¿qué simboliza la vela encendida colocada en el centro?",La Vida de Cristo que es más fuerte que la muerte.
¿Qué documento eclesial es citado para fundamentar que la conversión es tarea permanente del corazón?,El Catecismo de la Iglesia Católica (CIC 1427-1429).
¿Qué patrona de la Arquidiócesis de Monterrey se invoca para acompañar este camino?,Nuestra Señora del Roble.
¿Qué actitud se busca promover en el momento del “Diálogo familiar”?,La sinceridad y el respeto para compartir situaciones reales a la luz de la fe.
¿Cuál es el sentido de la pregunta “¿Crees esto?” dirigida por Jesús a Marta en Betania?,"Revelar que la resurrección no es solo un evento futuro, sino una persona presente: Él mismo."
¿A qué invita el gesto simbólico de “lavarse en Siloé” en el 4to Encuentro?,A pedir a Jesús que lave los ojos del corazón de prejuicios y etiquetas.
